name,type_of_food,address,city,outcode,postcode,URL,rating
Americana Fried Chicken,American,259 High Street,WalthamCross,EN8,7BE,http://www.just-eat.co.uk/restaurants-americanafriedchicken-en8/menu,4
Amico Pizza,American,122b Bewicke Road,Wallsend,NE28,6NJ,http://www.just-eat.co.uk/restaurants-amicopizza-ne28/menu,5
Amigo Pizza,American,Unit C,TyneAndWear,NE25,8UG,http://www.just-eat.co.uk/restaurants-amigopizza-ne25/menu,5
Amigos,American,49 Eastborn Street,Middlesbrough,TS5,6QN,http://www.just-eat.co.uk/restaurants-amigos-ts5/menu,5
A-One Chicken Hut,American,379 High Road,London,HA9,6AA,http://www.just-eat.co.uk/restaurants-aonechickenhut-ha9/menu,3
Ark Burger & Salad Bar,American,3 Church Street,HertfordshireCounty,CM23,2LY,http://www.just-eat.co.uk/restaurants-ark-burger-and-salad-bar-bishops-stortford/menu,5
Arnold's,American,388 Upper Newtownards Road,Belfast,BT4,3EY,http://www.just-eat.co.uk/restaurants-arnolds-bt4/menu,5
Astley Grill,American,414 Manchester Road Tyldesley,Manchester,M29,7DY,http://www.just-eat.co.uk/restaurants-astleygrillm29/menu,4
Astley Grill,American,414 Manchester Road Tyldesley,Manchester,M29,7DY,http://www.just-eat.co.uk/restaurants-astleygrillm29/menu,4
Bada-Bing,American,42 West Street,Portadown,BT62,3JQ,http://www.just-eat.co.uk/restaurants-BadaBing-BT62/menu,5
Balti Ranch,American,16 Rooley Lane,Bradford,BD5,8LX,http://www.just-eat.co.uk/restaurants-balti-ranch/menu,5
Bar B.Q House,American,10 Melton Road Downend,Oakham,LE15,6AY,http://www.just-eat.co.uk/restaurants-barbqhouse/menu,4
Barbeque Express,American,334 Normanton Road,Derby,DE23,6WE,http://www.just-eat.co.uk/restaurants-barbequeexpress-de23/menu,5
Barbeque Express,American,334 Normanton Road,Derby,DE23,6WE,http://www.just-eat.co.uk/restaurants-barbequeexpress-de23/menu,5
Bar-B-Q House,American,45 North Station Road,Colchester,CO1,1RQ,http://www.just-eat.co.uk/restaurants-bar-b-q-house-co1/menu,5
Barcode,American,128 Church Road,Hove,BN3,2EA,http://www.just-eat.co.uk/restaurants-barcode-bn3/menu,5
Barcode,American,128 Church Road,Hove,BN3,2EA,http://www.just-eat.co.uk/restaurants-barcode-bn3/menu,5
Barrs Traditional Takeaway,American,176 Lecky Road,Londonderry,BT48,6NP,http://www.just-eat.co.uk/restaurants-barrstraditionaltakeaway/menu,5
BBQ Express,American,619 Purley Way,Croydon,CR0,4RQ,http://www.just-eat.co.uk/restaurants-bbqexpress/menu,3
BBQ Express,American,619 Purley Way,Croydon,CR0,4RQ,http://www.just-eat.co.uk/restaurants-bbqexpress/menu,3
BBQ Express,American,398 Green Lanes,PalmersGreen,N13,5PD,http://www.just-eat.co.uk/restaurants-bbqexpress-n13/menu,4
BBQ Express,American,675 Romford Road,ManorPark,E12,5AD,http://www.just-eat.co.uk/restaurants-bbq-express-e12/menu,4
BBQ Express,American,675 Romford Road,ManorPark,E12,5AD,http://www.just-eat.co.uk/restaurants-bbq-express-e12/menu,4
BBQ Express,American,398 Green Lanes,PalmersGreen,N13,5PD,http://www.just-eat.co.uk/restaurants-bbqexpress-n13/menu,4
BBQ Xpress,American,65 Barking Road,London,E16,4HB,http://www.just-eat.co.uk/restaurants-bbqxpresse16/menu,4
BBQ Xpress Peri Peri,American,59C Bellegrove Road,Welling,DA16,3PB,http://www.just-eat.co.uk/restaurants-bbq-xpress-da16/menu,4
BBQ Xpress Piri Piri,American,243 Linthorpe Road Cleveland,Middlesbrough,TS1,4AT,http://www.just-eat.co.uk/restaurants-bbqexpress-piripiri-ts1/menu,4
Bear's Boutique Bowling,American,Unit B 1-3 Star Lane,Ipswich,IP4,1JN,http://www.just-eat.co.uk/restaurants-bearsboutiquebowling-ip4/menu,0
Bellissimo,American,31 Melbourne Place,Sunderland,SR4,8LN,http://www.just-eat.co.uk/restaurants-bellissimo-sr4/menu,5
Best Favourite Chicken,American,3 Market Street,Trowbridge,BA14,8EY,http://www.just-eat.co.uk/restaurants-best-favourite-chicken-ba14/menu,4
Best Kebab & Pizza House,American,18 Gloucester Street,Gloucester,GL5,1QG,http://www.just-eat.co.uk/restaurants-bestkebab-gl5/menu,5
Best Kebabs,American,12 Bramley Park Road,Handsworth,S13,8UA,http://www.just-eat.co.uk/restaurants-bestkebabs-s13/menu,5
BFC - Pizza & Kebab House,American,8 Ryton Street,Worksop,S80,2AU,http://www.just-eat.co.uk/restaurants-bfc-s80/menu,4
BFC Takeaway,American,24 Middleton Road,Banbury,OX16,4QJ,http://www.just-eat.co.uk/restaurants-bfc-takeaway-ox16/menu,3
Bibi Pizza,American,4 Bodmin Cresent,Leeds,LS10,4NH,http://www.just-eat.co.uk/restaurants-bibipizza-ls10/menu,5
Bibi Pizza,American,4 Bodmin Cresent,Leeds,LS10,4NH,http://www.just-eat.co.uk/restaurants-bibipizza-ls10/menu,5
Big Belly Fast Food & Restaurant,American,45 Osborne Street,Colchester,CO2,7DB,http://www.just-eat.co.uk/restaurants-big-belly-fast-food-and-restaurant-colchester/menu,5
Big G's Diner,American,7 High Street,Heckmondwike,WF16,0JA,http://www.just-eat.co.uk/restaurants-biggsdiner-wf16/menu,5
Big G's Diner,American,7 High Street,Heckmondwike,WF16,0JA,http://www.just-eat.co.uk/restaurants-biggsdiner-wf16/menu,5
Big Mamas,American,91 Walton Road,Surrey,GU21,5DW,http://www.just-eat.co.uk/restaurants-bigmamas-gu21/menu,3
Big Man's Fish 'N' Grill,American,120 High Street,Colchester,CO1,1SZ,http://www.just-eat.co.uk/restaurants-BigMansFishNGrillCO1/menu,4
Big Mo's,American,238 High Street,Enfield,EN3,4EZ,http://www.just-eat.co.uk/restaurants-big-mos-enfield/menu,4
Big Mo's,American,238 High Street,Enfield,EN3,4EZ,http://www.just-eat.co.uk/restaurants-big-mos-enfield/menu,4
Big Mo's,American,238 High Street,Enfield,EN3,4EZ,http://www.just-eat.co.uk/restaurants-big-mos-enfield/menu,4
Big Mouth BBQ,American,Unit 20C 15-17 Ingate Place,London,SW8,3NS,http://www.just-eat.co.uk/restaurants-bigmouth-sw8/menu,5
Big Mouth BBQ,American,Unit 20C 15-17 Ingate Place,London,SW8,3NS,http://www.just-eat.co.uk/restaurants-bigmouth-sw8/menu,5
Billy Burger,American,Flat The Burger Factory,Avon,BA1,6RT,http://www.just-eat.co.uk/restaurants-billyburgers-ba1/menu,5
Bishy's Chicken,American,76 Yarm Lane,StocktononTees,TS18,1EW,http://www.just-eat.co.uk/restaurants-bishys-chicken-ts18/menu,4
Biting Junction,American,44 Queensbury Station Parade,Edgware,HA8,5NN,http://www.just-eat.co.uk/restaurants-bitingjunction-ha8/menu,4
Biting Junction,American,44 Queensbury Station Parade,Edgware,HA8,5NN,http://www.just-eat.co.uk/restaurants-bitingjunction-ha8/menu,4
Aimees,Burgers,9 Station Road,Queensferry,CH5,1SU,http://www.just-eat.co.uk/restaurants-aimees-deeside/menu,5
Aimees,Burgers,9 Station Road,Queensferry,CH5,1SU,http://www.just-eat.co.uk/restaurants-aimees-deeside/menu,5
AJ Pizza Town Limited,Burgers,16 Crosskeys,StNeots,PE19,2AR,http://www.just-eat.co.uk/restaurants-aj-pizza-town-limited-little-paxton/menu,5
Alfie's Fast Food & Shakes,Burgers,630 Hyde Road,Manchester,M18,7EE,http://www.just-eat.co.uk/restaurants-alfies-m18/menu,4
Alfie's Fast Food & Shakes,Burgers,630 Hyde Road,Manchester,M18,7EE,http://www.just-eat.co.uk/restaurants-alfies-m18/menu,4
All Beef Burger Co,Burgers,The Royal Arcade,Worthing,BN11,3AY,http://www.just-eat.co.uk/restaurants-allbeefburgerco-bn11/menu,5
